IRIS;P20_POP;P20_POP0014;P20_POP1529;P20_POP3044;P20_POP4559;P20_POP6074;P20_POP75P
352380801;2534.172295;383.7218482;709.5027866;469.6429493;442.2172493;352.6724798;176.4149817
352380706;3569.749609;620.2967557;644.5426599;706.9453365;736.6041222;547.8660195;313.4947148
352380708;2754.1683;442.5291638;550.5630785;594.5530432;520.1018248;379.9011038;266.5200857
352380207;3707.630459;368.9630925;1378.563569;783.1600956;492.2609007;367.5833447;317.0994567
352380104;2128.213009;116.6391754;1023.780129;337.8155852;214.5864883;216.1516932;219.2399374
352380508;3417.771928;646.5457922;758.9114518;678.1065069;562.4255849;461.1830852;310.5995068
352380307;272.9223776;20.00000582;209.0315329;15.01574041;18.00000524;4.000001164;6.875092098
352380301;4399.909895;420.4563764;1491.954125;931.2868605;443.3416858;536.6238095;576.2470377
352381006;2549.388471;562.1332947;1153.365445;303.1688256;287.7690474;156.3324875;86.61937156
352380502;2046.759494;650.9315519;426.5693646;380.5311337;347.4175529;183.5544474;57.75544363
353510000;1435;324.6174305;214.1836838;285.6741887;364.1527972;195.2129522;51.15894766
352381102;2390.578805;579.3388397;553.7197184;523.3217381;363.112382;287.8510028;83.2351237
352380604;2411.503849;287.8718194;781.4099475;381.0559232;525.3501758;326.102864;109.7131191
352380108;1920.718758;132.8851403;671.0118556;385.8008666;196.0934992;274.5035091;260.4238874
352380503;1477.084855;201.5057481;336.0376495;208.637542;201.4481346;301.1054293;228.3503515
352080000;5341;1145.045144;822.7253567;1160.639964;1167.53025;768.7034195;276.3558649
353150000;1440;306.6585523;177.8091849;297.3979293;315.2910727;257.0914976;85.75176323
350320000;4579;1087.327003;790.5868087;1053.401004;920.5508645;535.6072558;191.5270635
352400101;2415.296057;545.0826423;409.8874057;509.3968552;493.3150398;279.9719901;177.6421243
353520103;2565;475;325;418;556;672;119
350660102;4636.923995;771.0416159;859.1058446;828.2679856;869.3295365;854.9787256;454.2002865
350660104;724.3206591;152.701557;207.0054896;168.9769883;137.0996772;50.20229898;8.334647979
352380703;2361.098597;286.9669598;578.692809;479.016948;382.9925661;350.9534045;282.4759093
352380607;552.0429917;125.6613314;189.1444265;138.9735619;62.48309478;27.62446134;8.156115699
352380103;1619.408334;154.0730778;700.3972508;278.3726662;214.7688321;154.751424;117.0450833
350510201;287.0083585;45.13030563;85.78621838;69.29340338;51.61387758;26.05711998;9.127433539
352810202;2166.727327;426.189507;498.8976582;421.7543089;395.7990613;246.5984132;177.4883785
352100105;1860.467824;317.3136707;264.1715727;254.5755824;358.4866053;392.6641597;273.256233
352380802;2169.284536;282.0624658;500.8425941;376.8824003;468.7454905;341.8815243;198.8700606
352381101;1898.25175;529.0741262;568.112054;349.9428528;210.8890943;137.2322922;103.0013302
352381109;1421.47253;155.6035965;340.2173235;215.0892852;228.7790037;282.8173027;198.9660184
352380803;2815.662447;422.1104149;556.4701752;480.5003697;551.2104525;494.233724;311.1373106
352380701;2877.9817;411.2637507;854.7408744;622.3022488;489.882587;300.2038509;199.5883883
352380106;1772.420709;168.0040752;442.3128476;262.2303129;188.1592728;306.5001882;405.2140118
352380507;2002.121255;305.1747532;783.1085669;261.7396527;383.5583561;180.1160468;88.42387904
352380201;3225.763195;417.7153633;1064.392097;664.7091191;460.0815485;281.5808587;337.2842084
352381007;6345.966927;1014.543659;2708.605;1428.994556;776.1141505;334.5789659;83.1305952
352380305;2688.457416;347.076309;939.8033771;636.1900396;386.291828;249.2296726;129.86619
352381008;296.109922;33.13565943;99.13466049;60.68273539;40.42457169;30.88048788;31.85180709
352380510;197.578988;25.57169801;51.53275421;23.00088755;53.18688929;33.55757762;10.72918135
352381003;2969.21862;485.939805;1279.313749;404.5626335;377.2979278;239.5172936;182.5872107
352380206;2755.112682;534.0760782;828.8013951;631.5551344;393.4086181;236.4839616;130.7874945
352380504;3464.643189;647.5513251;718.1583031;716.4601712;595.9182401;485.711803;300.8433463
352750000;5312;1237.698283;818.7855491;1214.05395;960.3316977;783.5085724;297.6219476
352660000;3428;751;558;713;694;492;220
350760000;4268;822.3036017;661.7403475;833.681612;919.1295718;705.3359238;325.8089433
351890000;3564;672.7888774;588.8408242;704.973353;699.4124429;591.2109139;306.7735887
351310000;4647;870.052988;777.9903584;921.3685364;925.5111396;743.6352116;408.4417661
352380903;6051.886339;1110.909445;1716.457091;1387.616236;894.2750863;532.6137666;410.0147136
